Modèle,Type,Exemples d'entraînement,Accuracy,F1 macro,Temps d'entraînement (s),Temps d'inférence (s)
BiLSTM + GloVe,Baseline,300000,0.81534,0.8152697563248426,697.6969170570374,2.7415363788604736
SetFit + MPNet,Méthode récente,1024,0.81742,0.8174029608477333,2582.026936531067,338.95105481147766
